2021-08-26,,,
2021-08-28,토,16:10,"28,400"
2021-08-28,토,15:30,"28,900"
2021-08-28,토,17:30,"28,900"
2021-08-29,일,15:00,"22,300"
2021-08-29,일,7:25,"24,300"
2021-08-29,일,7:35,"24,300"
2021-08-30,월,17:25,"18,700"
2021-08-30,월,16:00,"19,700"
2021-08-30,월,8:40,"20,700"
2021-08-31,화,7:35,"20,300"
2021-08-31,화,8:05,"20,300"
2021-08-31,화,8:40,"20,700"
2021-09-01,수,16:00,"20,700"
2021-09-01,수,8:40,"22,700"
2021-09-01,수,16:00,"22,700"
2021-08-29,,,
2021-08-31,화,7:25,"17,400"
2021-08-31,화,7:35,"18,300"
2021-08-31,화,8:40,"18,700"
2021-09-01,수,16:00,"18,700"
2021-09-01,수,16:25,"20,300"
2021-09-01,수,7:35,"22,300"
2021-09-02,목,16:00,"19,700"
2021-09-02,목,16:25,"20,300"
2021-09-02,목,8:40,"20,700"
2021-09-03,금,6:25,"21,400"
2021-09-03,금,8:40,"21,800"
2021-09-03,금,7:35,"22,300"
2021-09-04,토,19:35,"29,300"
2021-09-04,토,16:00,"29,800"
2021-09-04,토,16:25,"30,300"
